Rk,Player,Age,Team,Pos,G,GS,Int,Int Yds,IntTD,Lng Int,PD,FF,Fmb,FR,Yds,FR TD,Sack,Comb Tackles,Solo Tackles,Tackle Ast,TFL,QBHits,Safety,Awards
1486,Micah McFadden,25,NYG,LB,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,
1487,Johnathan Baldwin,22,GNB,S,1,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,0,
1488,Shemar Bartholomew,25,GNB,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,0,0,
1489,Vernon Broughton,24,NOR,DT,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,
1490,Josh Butler,29,DAL,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,
1491,Parris Campbell,28,DAL,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
1492,Marlon Davidson,27,HOU,DT,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
1493,Ethan Downs,23,KAN,OLB,1,0,0,0,0,0,0,1,0,0,0,0,0,5,1,4,0,0,0,
1494,Princeton Fant,26,DAL,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
1495,Dallis Flowers,28,CHI,DB,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
1496,Richie Grant,28,NWE,S,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
1497,Jack Heflin,27,LAR,DE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
1498,D.J. James,24,NWE,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
1499,Kingsley Jonathan,27,NYJ,DL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
1500,Carl Lawson,30,BAL,DE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
1501,T.J. Maguranyanga,23,WAS,DE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
1502,Marcus Maye,32,LAC,S,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,
1503,Jordan Mims,26,TEN,RB,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
1504,Haggai Ndubuisi,25,HOU,DT,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
1505,Lew Nichols,24,PIT,RB,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
1506,Collin Oliver,23,GNB,DL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,
1507,Amani Oruwariye,29,BAL,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
1508,Clark Phillips,24,ATL,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
1509,Anthony Pittman,29,DET,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
1510,Monty Rice,26,DET,OLB,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,
1511,Jamie Sheriff,25,SEA,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
1512,Jaylin Simpson,25,GNB,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,0,0,
1513,Jackson Sirmon,25,NYJ,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
1514,Trevian Thomas,23,CAR,S,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
1515,Delarrin Turner-Yell,26,DEN,S,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
1516,DeMarcus Walker,31,WAS,DE,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,
1517,Kyzir White,29,TEN,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,
1518,Perrion Winfrey,25,DAL,DT,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,
