Rk,Player,Age,Team,Pos,G,GS,Punt Returns,Punt Return Yds,Punt Return TD,Lng Punt Return,Y/cPunt Ret,Kick Returns,Kick Return Yds,KR TD,Lng Kick Return,Y/ Kick Ret,APYd,Awards
53,Isaiah Bond,21,CLE,WR,16,2,2,9,0,9,4.5,0,0,0,0,,376,
54,Keon Coleman,22,BUF,WR,13,6,2,8,0,6,4,0,0,0,0,,412,
55,River Cracraft,31,WAS,WR,2,0,2,1,0,1,0.5,0,0,0,0,,1,
56,Mecole Hardman,27,BUF,WR,2,0,2,4,0,4,2,1,61,0,61,61,65,
57,Jevon Holland,25,NYG,S,14,14,2,7,0,10,3.5,0,0,0,0,,10,
58,Jeshaun Jones,26,MIN,WR,1,0,2,5,0,5,2.5,0,0,0,0,,5,
59,Ray-Ray McCloud,29,ATL,WR,4,1,2,0,0,0,0,4,91,0,30,22.8,155,
60,Scott Miller,28,PIT,WR,13,0,2,34,0,25,17,0,0,0,0,,96,
61,Jayden Reed,25,GNB,WR,7,3,2,21,0,20,10.5,0,0,0,0,,256,
62,Hunter Renfrow,30,CAR,WR,6,2,2,13,0,13,6.5,0,0,0,0,,102,
63,Troy Dye,29,LAC,LB,16,7,1,0,0,0,0,0,0,0,0,,0,
64,Mike Ford,30,ATL,CB,17,0,1,0,0,0,0,0,0,0,0,,0,
65,Cam Hart,25,LAC,CB,16,6,1,0,0,0,0,0,0,0,0,,27,
66,Tyreek Hill,31,MIA,WR,4,4,1,19,0,19,19,0,0,0,0,,284,
67,Nyheim Hines,29,2TM,RB,4,0,1,11,0,11,11,7,195,0,40,27.9,204,
67,Nyheim Hines,29,LAC,RB,3,0,0,0,0,0,,7,195,0,40,27.9,193,
67,Nyheim Hines,29,NOR,RB,1,0,1,11,0,11,11,0,0,0,0,,11,
